City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,egilsstadir,65.2653,-14.3948,8.95,66,75,6.69,IS,1691569817
121,manokwari,-0.8667,134.0833,27.28,77,42,0.97,ID,1691569817
122,namtsy,62.7161,129.6658,23.59,35,13,3.65,RU,1691569817
123,port elizabeth,-33.918,25.5701,18.94,82,20,3.09,ZA,1691569817
124,black point,-34.6187,137.8972,14.77,78,55,9.07,AU,1691569817
125,giyani,-23.3025,30.7187,21.21,38,1,5.62,ZA,1691569818
126,fort bragg,35.139,-79.006,25.75,71,100,3.6,US,1691569818
127,sitangkai,4.6628,119.3928,28.85,73,96,3.94,PH,1691569818
128,happy valley-goose bay,53.3168,-60.3315,12.17,87,75,1.03,CA,1691569818
129,port alfred,-33.5906,26.891,16.77,92,98,0.89,ZA,1691569818
130,bilibino,68.0546,166.4372,7.86,64,99,2.12,RU,1691569818
131,papao,-17.75,-149.55,24.81,76,93,7.88,PF,1691569814
132,hassi messaoud,31.6804,6.0729,34.92,21,0,2.57,DZ,1691569818
133,shahrak,34.1074,64.3052,27.46,15,0,4.55,AF,1691569819
134,inhambane,-23.865,35.3833,23.99,73,40,4.12,MZ,1691569819
135,praia da vitoria,38.7333,-27.0667,24.31,83,75,10.82,PT,1691569819
136,maun,-19.9833,23.4167,21.98,23,0,8.75,BW,1691569819
137,villa nueva,14.5269,-90.5875,20.01,88,75,5.14,GT,1691569819
138,ponta delgada,37.7333,-25.6667,24.4,88,75,8.23,PT,1691569560
139,hawaiian paradise park,19.5933,-154.9731,25.73,85,100,3.6,US,1691569820
140,gamba,-2.65,10.0,23.78,73,99,2.71,GA,1691569820
141,nuku'alofa,-21.1333,-175.2,21.19,94,75,6.17,TO,1691569820
142,venev,54.3553,38.2684,25.1,54,88,4.96,RU,1691569820
143,papatowai,-46.5619,169.4708,3.69,77,93,5.46,NZ,1691569820
144,mata-utu,-13.2816,-176.1745,27.85,77,46,4.14,WF,1691569820
145,colombo,6.9319,79.8478,30.97,74,100,4.24,LK,1691569636
146,paradsasvar,47.9126,19.9771,19.34,51,100,2.98,HU,1691569821
147,christchurch,-43.5333,172.6333,6.11,82,100,4.63,NZ,1691569417
148,north battleford,52.7834,-108.2847,13.05,76,100,3.6,CA,1691569821
149,vallegrande,-18.4897,-64.1069,10.93,92,39,1.36,BO,1691569821
